Unnamed: 0,sentimen,tweet,tweet_no_stopwords,stem
305,netral,bandara kertajati selesai ditangan jokowi sehingga menggerakan ekonomi rakyat 01indonesiamaju pilihorangbaik pilihjelasislamnya pilihbajuputih,bandara kertajati selesai ditangan jokowi menggerakan ekonomi rakyat 01indonesiamaju pilihorangbaik pilihjelasislamnya pilihbajuputih,bandara kertajati selesai tang jokowi gera ekonomi rakyat 01indonesiamaju pilihorangbaik pilihjelasislamnya pilihbajuputih
306,positif,negara china sebentar lagi jadi negara adikuasa ekonomi supaya kita tidak hanya jadi obyek kemajuan ekonomi mereka kita perlu contoh kiatkiat dan strategi yang mereka tempuh uasdifitnahkejidanbrutal,negara china sebentar negara adikuasa ekonomi tidak obyek kemajuan ekonomi contoh kiatkiat strategi tempuh uasdifitnahkejidanbrutal,negara china sebentar negara adikuasa ekonomi tidak obyek maju ekonomi contoh kiatkiat strategi tempuh uasdifitnahkejidanbrutal
307,positif,terima kasih pak kekurangan selama bapak menjabat insya allah akan disempurnakan pak prabowo dan bang sandiuno di 20192024 karena kedepan negara harus fokus perbaiki ekonomi rakyat dan cicil bayar hutang uasdifitnahkejidanbrutal,terima kasih kekurangan menjabat insya allah disempurnakan prabowo bang sandiuno 20192024 kedepan negara fokus perbaiki ekonomi rakyat cicil bayar hutang uasdifitnahkejidanbrutal,terima kasih kurang jabat insya allah sempurna prabowo bang sandiuno 20192024 depan negara fokus baik ekonomi rakyat cicil bayar hutang uasdifitnahkejidanbrutal
308,negatif,mobile legend adalah permainan game online pak pak jokowi ingin merangkul para2 gamers moba online apakah itu penting dibahas pak wong kita kekurangan duit saja masih bisa main moba yang penting itu sembako murah harga pangan murah benar yang disampaikan bagi sandi debat tadu malam,mobile legend permainan game online jokowi merangkul para2 gamers moba online dibahas kekurangan duit main moba sembako murah harga pangan murah sandi debat tadu malam,mobile legend main game online jokowi rangkul para2 gamers moba online bahas kurang duit main moba sembako murah harga pangan murah sandi debat tadu malam
309,negatif,eh bodoh kamu tahu tidak sekarang banyak perusahaan fintech bisa beli coin diamond dan lain kamu tahu tidak kalau sekarang iklan lebih pilih masang di aplikasi milenial buat jaring konsumen kamu tahu tidak pendapatan negara dari pajak internet kamu kamu sekarang perusahaan it berlomba bikin games,eh bodoh tidak perusahaan fintech beli coin diamond tidak iklan pilih masang aplikasi milenial jaring konsumen tidak pendapatan negara pajak internet perusahaan it berlomba bikin games,eh bodoh tidak usaha fintech beli coin diamond tidak iklan pilih masang aplikasi milenial jaring konsumen tidak dapat negara pajak internet usaha it lomba bikin games
310,negatif,dengan memprioritaskan perekonomian agraris bukan berarti pemerintah menghambat yang lain bung tapi ini masalah skala prioritas duh saya jadi bolak balik bicara ini susah benar pahamnga anda ya,memprioritaskan perekonomian agraris pemerintah menghambat skala prioritas duh bolak bicara susah pahamnga ya,prioritas ekonomi agraris perintah hambat skala prioritas duh bolak bicara susah pahamnga ya
311,positif,dengan mencoblos pak prabowo dan bang sandi anda telah membantu beramalkarena selama 5tahun beliau akan memberikan gajinnya kepada kaum dhuafaanak yatim dan lain yang membutuhkan 2019prabowosandimenang,mencoblos prabowo bang sandi membantu beramalkarena 5tahun beliau gajinnya kaum dhuafaanak yatim membutuhkan 2019prabowosandimenang,coblos prabowo bang sandi bantu beramalkarena 5tahun beliau gajinnya kaum dhuafaanak yatim butuh 2019prabowosandimenang
312,netral,presiden joko widodo jokowi mengatakan terkendalinya hargaharga komoditas pangan inti bisa dilihat dari tingkat inflasi 2019jokowikyaimaruf jokowiuntukindonesiamakmur jalansehatsarungan persijaday nusantarastatus10586381265608704photo1 pictwittercom7oeqsq40qba,presiden joko widodo jokowi terkendalinya hargaharga komoditas pangan inti tingkat inflasi 2019jokowikyaimaruf jokowiuntukindonesiamakmur jalansehatsarungan persijaday nusantarastatus10586381265608704photo1 pictwittercom7oeqsq40qba,presiden joko widodo jokowi kendal hargaharga komoditas pangan inti tingkat inflasi 2019jokowikyaimaruf jokowiuntukindonesiamakmur jalansehatsarungan persijaday nusantarastatus10586381265608704photo1 pictwittercom7oeqsq40qba
313,positif,di era pak jokowi kemjuan teknologi mampu dimanfaatkan terutama untuk pengembangan ekonomi kreatif pilihorangbaik pilihjelasislamnya pilihbajuputih,era jokowi kemjuan teknologi dimanfaatkan pengembangan ekonomi kreatif pilihorangbaik pilihjelasislamnya pilihbajuputih,era jokowi kemjuan teknologi manfaat kembang ekonomi kreatif pilihorangbaik pilihjelasislamnya pilihbajuputih
314,netral,presiden jokowi dan raja salman menggelar pertemuan bilateral di istana pribadi raja minggu sore 14 april 2019 dalam pertemuan yang berlangsung selepas jamuan santap siang itu presiden jokowi dan raja salman sepakat akan meningkatkan kerja sama di bidang ekonomi pictwittercomrqejh07fbz,presiden jokowi raja salman menggelar pertemuan bilateral istana pribadi raja minggu sore 14 april 2019 pertemuan selepas jamuan santap siang presiden jokowi raja salman sepakat meningkatkan kerja bidang ekonomi pictwittercomrqejh07fbz,presiden jokowi raja salman gelar temu bilateral istana pribadi raja minggu sore 14 april 2019 temu lepas jamu santap siang presiden jokowi raja salman sepakat tingkat kerja bidang ekonomi pictwittercomrqejh07fbz
315,positif,siapapun pilihan pak kiai saya tetap menghargaiwalau kita berbeda pak kiaiyTMyTMbimillaahirraohmaanirrohim dengan mengikuti kata hati nurani saya tetap jokowiy saya saya syah hati saya lebih besar ke jokowiy s,pilihan kiai menghargaiwalau berbeda kiaiytmytmbimillaahirraohmaanirrohim mengikuti hati nurani jokowiy syah hati jokowiy s,pilih kiai menghargaiwalau beda kiaiytmytmbimillaahirraohmaanirrohim ikut hati nurani jokowiy syah hati jokowiy s
316,positif,bersedekah yuk dengan cara mencoblos 02 prabowo dan sandiuno sama saja anda sudah beramal karena gaji mereka akan diberikan kepada anak yatim dan dhuafa bersedekah yuk saveuas,bersedekah yuk mencoblos 02 prabowo sandiuno beramal gaji anak yatim dhuafa bersedekah yuk saveuas,sedekah yuk coblos 02 prabowo sandiuno amal gaji anak yatim dhuafa sedekah yuk saveuas
317,netral,prabowo sebut ekonomi indonesia era jokowi salah arah a,prabowo ekonomi indonesia era jokowi salah arah a,prabowo ekonomi indonesia era jokowi salah arah a
318,negatif,artinya anda sudah gagal pak 5 tahun ngapain saja kalau stagnan di 5 kenapa pas debat malah bahas mobile legend bukan ekonomi indonesia uasdifitnahkejidanbrutal,gagal 5 ngapain stagnan 5 pas debat bahas mobile legend ekonomi indonesia uasdifitnahkejidanbrutal,gagal 5 ngapain stagnan 5 pas debat bahas mobile legend ekonomi indonesia uasdifitnahkejidanbrutal
319,netral,hal ini terlihat sekali dalam langkah pemerintahan presiden jokowi melakukan pemberdayaan ekonomi keumatan melalui bank wakaf mikro kata ketum arus baru muslimah munifah syanwani pilihorangbaik pilihjelasislamnya pilihbajuputih,langkah pemerintahan presiden jokowi pemberdayaan ekonomi keumatan bank wakaf mikro ketum arus muslimah munifah syanwani pilihorangbaik pilihjelasislamnya pilihbajuputih,langkah perintah presiden jokowi daya ekonomi umat bank wakaf mikro tum arus muslimah munifah syanwani pilihorangbaik pilihjelasislamnya pilihbajuputih
320,netral,sederet menteri kabinet kerja presiden jokowi dan wakil presiden jusuf kalla di bidang ekonomi meraih penghargaan internasional dalam kurun waktu kurang dari empat tahun kabinet berjalana pilihorangbaik pilihygjelasislamnya pilihygbajuputih pictwittercomanagllw6r8,sederet menteri kabinet kerja presiden jokowi wakil presiden jusuf kalla bidang ekonomi meraih penghargaan internasional kurun kabinet berjalana pilihorangbaik pilihygjelasislamnya pilihygbajuputih pictwittercomanagllw6r8,deret menteri kabinet kerja presiden jokowi wakil presiden jusuf kalla bidang ekonomi raih harga internasional kurun kabinet berjalana pilihorangbaik pilihygjelasislamnya pilihygbajuputih pictwittercomanagllw6r8
321,netral,pak jokowi mohon bilang ke pangeran muhammad bin salman tolong segera direalisasikan beli manutd nya biar tidak kesusahan bayar gaji sama beli2 pemainnya a,jokowi mohon bilang pangeran muhammad bin salman tolong direalisasikan beli manutd nya biar tidak kesusahan bayar gaji beli2 pemainnya a,jokowi mohon bilang pangeran muhammad bin salman tolong realisasi beli manutd nya biar tidak susah bayar gaji beli2 main a
322,positif,hahahaha tema debat adalah perekonomian bung kamu pikir segi pertanian dan jual beli sembako tidak ada hubungannya sama kondisi perekonomian negara kita masih disebut negara agraris paham tidak maksudnya cari tahu dulu maksud dari negara agraris lalu lanjut debat dengan saya ya,hahahaha tema debat perekonomian pikir segi pertanian jual beli sembako tidak hubungannya kondisi perekonomian negara negara agraris paham tidak maksudnya cari maksud negara agraris debat ya,hahahaha tema debat ekonomi pikir segi tani jual beli sembako tidak hubung kondisi ekonomi negara negara agraris paham tidak maksud cari maksud negara agraris debat ya
323,negatif,kalau prabowo terpilih ya benar ekonomi makin baik karena infrastruktur sudah dibangun besar2an sama jokowi jadii dia tinggal duduk manis ajayy,prabowo terpilih ya ekonomi infrastruktur dibangun besar2an jokowi jadii tinggal duduk manis ajayy,prabowo pilih ya ekonomi infrastruktur bangun besar2an jokowi jadi tinggal duduk manis ajayy
324,positif,dengan mencoblos prabowo sandiuno anda telah ikut bersodaqoh selama 5 tahun karena gaji beliau diinfaqkan untuk duafa anak yatim dan lain insyaallah pictwittercomtnvsqenbem,mencoblos prabowo sandiuno bersodaqoh 5 gaji beliau diinfaqkan duafa anak yatim insyaallah pictwittercomtnvsqenbem,coblos prabowo sandiuno bersodaqoh 5 gaji beliau diinfaqkan duafa anak yatim insyaallah pictwittercomtnvsqenbem
325,netral,pilihorangbaik pilihjelasislamnya pilihbajuputih salah satu keberhasilan jokowi adalah membuat bbm menjadi satu harga di di 25 titik wilayah dari target 54 titik wilayah di seluruh indonesia,pilihorangbaik pilihjelasislamnya pilihbajuputih salah keberhasilan jokowi bbm harga 25 titik wilayah target 54 titik wilayah indonesia,pilihorangbaik pilihjelasislamnya pilihbajuputih salah hasil jokowi bbm harga 25 titik wilayah target 54 titik wilayah indonesia
326,positif,pilihorangbaik pilihjelasislamnya pilihbajuputih beberapa penghargaan yang dianugerahkan kepadanya jadi bukti bahwa jokowi merupakan sosok pemimpin yang diakui integritasnya,pilihorangbaik pilihjelasislamnya pilihbajuputih penghargaan dianugerahkan bukti jokowi sosok pemimpin diakui integritasnya,pilihorangbaik pilihjelasislamnya pilihbajuputih harga anugerah bukti jokowi sosok pimpin aku integritas
327,netral,dalam 50 hari setelah dilantikprabowo sandi akan menghapus pajak dalam 60 hari prabowo sandi akan memberikan pelayanan kesehatan dan pendidikan gratis dalam 70 hari prabowo sandi akan menurunkan hargaharga a,50 dilantikprabowo sandi menghapus pajak 60 prabowo sandi pelayanan kesehatan pendidikan gratis 70 prabowo sandi menurunkan hargaharga a,50 dilantikprabowo sandi hapus pajak 60 prabowo sandi layan sehat didik gratis 70 prabowo sandi turun hargaharga a
328,netral,disaksikan sandiwara jokowi dapat penghargaan tokoh pemerataan pembangunan pilihorangbaik pilihygjelasislamnya pilihygbajuputih a,disaksikan sandiwara jokowi penghargaan tokoh pemerataan pembangunan pilihorangbaik pilihygjelasislamnya pilihygbajuputih a,saksi sandiwara jokowi harga tokoh perata bangun pilihorangbaik pilihygjelasislamnya pilihygbajuputih a
329,negatif,sekali2 bahas juga dong masalah ekonomi jangan tiap detik infrastuktur terus jadi boring ini,sekali2 bahas ekonomi detik infrastuktur boring,sekali2 bahas ekonomi detik infrastuktur boring
330,netral,jalannya debat ini jawaban jokowi kepada sandiaga uno soal a ibuibu yang mengeluh hargaharga naikaTM a,jalannya debat jokowi sandiaga uno a ibuibu mengeluh hargaharga naikatm a,jalan debat jokowi sandiaga uno a ibuibu keluh hargaharga naikatm a
331,netral,jika terpilih prabowosandi takkan ambil gaji negara segini gaji presiden dan wapres a lewat tribun manado,terpilih prabowosandi takkan ambil gaji negara segini gaji presiden wapres a tribun manado,pilih prabowosandi tak ambil gaji negara gin gaji presiden wapres a tribun manado
332,negatif,katanya anti china kok malah mau menggandeng cina padahal devisit neraca perdagangan dipengatuhi dari ekonomi dunia kok judilnya gara2 jokowi dasar kampret,anti china menggandeng cina devisit neraca perdagangan dipengatuhi ekonomi dunia judilnya gara2 jokowi dasar kampret,anti china gandeng cina devisit neraca dagang dipengatuhi ekonomi dunia judilnya gara2 jokowi dasar kampret
333,positif,jelas prabowosandi dong paslon 02 pemaparan visi misi nya lebih jelas dan pro rakyat hubungan ke 2 nyapun sangat harmonis dwi tunggal dan ke 2 nya akan menyumbangkan gajinya maklum ke 2 nya sama2 tajir debatpilpres2019 17apriltusukprabowosandi,prabowosandi paslon 02 pemaparan visi misi nya pro rakyat hubungan 2 nyapun harmonis dwi tunggal 2 nya menyumbangkan gajinya maklum 2 nya sama2 tajir debatpilpres2019 17apriltusukprabowosandi,prabowosandi paslon 02 papar visi misi nya pro rakyat hubung 2 nyapun harmonis dwi tunggal 2 nya sumbang gaji maklum 2 nya sama2 tajir debatpilpres2019 17apriltusukprabowosandi
334,negatif,kalau pernyataan bahwa prabowo dan sandiuno tidak akan ambil gaji di beritakan juga lah uasdifitnahkejidanbrutal tvstatus17108862450978816a a,pernyataan prabowo sandiuno tidak ambil gaji beritakan uasdifitnahkejidanbrutal tvstatus17108862450978816a a,nyata prabowo sandiuno tidak ambil gaji berita uasdifitnahkejidanbrutal tvstatus17108862450978816a a
335,negatif,ngajarin ekonomi mikro sama makro ke pengusaha top kaya pak prabowo dan bang sandi ibarat ngajarin ikan berenang padahal sudah jago uasdifitnahkejidanbrutal,ngajarin ekonomi mikro makro pengusaha top kaya prabowo bang sandi ngajarin ikan berenang jago uasdifitnahkejidanbrutal,ngajarin ekonomi mikro makro usaha top kaya prabowo bang sandi ngajarin ikan renang jago uasdifitnahkejidanbrutal
336,positif,bukan maksud saya sombong saya bisa menghidupi keluarga tanpa kartu2 ini apakah pabowosandi melanjutkan bisa ya bisa tidak mereka hanya janji saya pilih jokowi bukan untuk saya tapi karena saya harus memastikan saudara2 saya yang ekonominya kurang beruntung bisa terbantu dengan kartu2 ini pictwittercompfc5zoriur,maksud sombong menghidupi keluarga kartu2 pabowosandi melanjutkan ya tidak janji pilih jokowi saudara2 ekonominya beruntung terbantu kartu2 pictwittercompfc5zoriur,maksud sombong hidup keluarga kartu2 pabowosandi lanjut ya tidak janji pilih jokowi saudara2 ekonomi untung bantu kartu2 pictwittercompfc5zoriur
337,negatif,yang suka bilang sebentar lagi ekonomi meroket siapa pak jokowi katanya sih capres 2014 itu uasdifitnahkejidanbrutal,suka bilang sebentar ekonomi meroket jokowi sih capres 2014 uasdifitnahkejidanbrutal,suka bilang sebentar ekonomi roket jokowi sih capres 2014 uasdifitnahkejidanbrutal
338,positif,saya memang setuju macro ekonominya jokowi jago sangat meski mungkin itu memang rancangan yang sudah ditulis sama ahli ahli yang merancang pembangunan indonesia ya tapi jokowi memang memahami dengan baik a,setuju macro ekonominya jokowi jago rancangan ditulis ahli ahli merancang pembangunan indonesia ya jokowi memahami a,tuju macro ekonomi jokowi jago rancang tulis ahli ahli rancang bangun indonesia ya jokowi paham a
339,positif,sesuatu yang benar belum tentu baik sesuatu yang bagus belum tentu berharga jokowi,bagus berharga jokowi,bagus harga jokowi
340,negatif,percuma infrastruktur bagus kalau roda perekonomian yang jalan hanya nguntungin asing sama aseng saya pilih pemimpin yang pro rakyat pribumi saja deh ya gantipresiden,infrastruktur bagus roda perekonomian jalan nguntungin asing aseng pilih pemimpin pro rakyat pribumi deh ya gantipresiden,infrastruktur bagus roda ekonomi jalan nguntungin asing aseng pilih pimpin pro rakyat pribumi deh ya gantipresiden
341,negatif,ngakunya ya ngakunya prabowo perhatian pada rakyat kecil ini baru hoax yang sebenarnya karyawannya di pt kiani kertas nusantara terkatungkatung tanpa gaji dan thr selesaikan dulu masalahmu bowok sebelum menyelesaian masalah rakyat kecil a,ngakunya ya ngakunya prabowo perhatian rakyat hoax karyawannya pt kiani kertas nusantara terkatungkatung gaji thr selesaikan masalahmu bowok menyelesaian rakyat a,ngakunya ya ngakunya prabowo perhati rakyat hoax karyawannya pt kiani kertas nusantara terkatungkatung gaji thr selesai masalah bowok selesai rakyat a
342,negatif,amin pelajaran berharga fitnah kejam sepwrti ini telah di berikan kepada harus tahun lalu begitu mudah kan rezim ini acak2 ulama dan umat islam siapa pelakunya pelakunya tidak jauh wereng coklat dipaksa jagal talangsari,amin pelajaran berharga fitnah kejam sepwrti mudah rezim acak2 ulama umat islam pelakunya pelakunya tidak wereng coklat dipaksa jagal talangsari,amin ajar harga fitnah kejam sepwrti mudah rezim acak2 ulama umat islam laku laku tidak wereng coklat paksa jagal talangsari
343,positif,trans sumatra akan menunjang pertumbuhan ekonomi di sumatera dan membantu pemerataan sosial di sumatera logistik bahan bakar dan keperluan lain akan lebih mudah dikirimkan karena sudah ada jalur yang memadai jokowi mewujudkan kemajuan bagi pulau sumatera lewat trans sumatra,trans sumatra menunjang pertumbuhan ekonomi sumatera membantu pemerataan sosial sumatera logistik bahan bakar keperluan mudah dikirimkan jalur memadai jokowi mewujudkan kemajuan pulau sumatera trans sumatra,trans sumatra tunjang tumbuh ekonomi sumatera bantu perata sosial sumatera logistik bahan bakar perlu mudah kirim jalur pada jokowi wujud maju pulau sumatera trans sumatra
344,netral,di debat terakhir capres prabowo sebut ekonomi ri salah arah pictwittercom6adkv9qpgq,debat capres prabowo ekonomi ri salah arah pictwittercom6adkv9qpgq,debat capres prabowo ekonomi ri salah arah pictwittercom6adkv9qpgq
345,positif,jokowi udahdeh anda jadi pelawak saja saya peratiin kayaknya cocok daripada ngurusin negara gaji seorang pelawak bisa lebih gede dari gaji presiden kamu y y y y y y y y y y,jokowi udahdeh pelawak peratiin kayaknya cocok ngurusin negara gaji pelawak gede gaji presiden y y y y y y y y y y,jokowi udahdeh lawak peratiin kayak cocok ngurusin negara gaji lawak gede gaji presiden y y y y y y y y y y
346,positif,hahahaha sebuah negara memiliki skala prioritas bang mana yang bernilai keekonomian secara makro mana yang nano atau piko saat ini kita sangat tergantung pada impor baik bahan baku pangan atau elektronik itu dulu yang dikejar pertumbujan ekonomi stagnan,hahahaha negara memiliki skala prioritas bang bernilai keekonomian makro nano piko tergantung impor bahan baku pangan elektronik dikejar pertumbujan ekonomi stagnan,hahahaha negara milik skala prioritas bang nila ekonomi makro nano piko gantung impor bahan baku pangan elektronik kejar pertumbujan ekonomi stagnan
347,positif,debat terakhir ya allah pamungkas sangat yaprabowo sandi bilang kalau terpilih menjadi presiden dan wakil presiden dia akan menyumbangkan seluruh gajinya tuk rakyat yang tidak mampumasya allah mulia sekali pak prabowo dan bang sandi,debat ya allah pamungkas yaprabowo sandi bilang terpilih presiden wakil presiden menyumbangkan gajinya tuk rakyat tidak mampumasya allah mulia prabowo bang sandi,debat ya allah pamungkas yaprabowo sandi bilang pilih presiden wakil presiden sumbang gaji tuk rakyat tidak mampumasya allah mulia prabowo bang sandi
348,positif,semoga dengan adanya tol trans sumatra akan membuat perekonomian di indonesia makin lancar dan maju,semoga tol trans sumatra perekonomian indonesia lancar maju,moga tol trans sumatra ekonomi indonesia lancar maju
349,negatif,katanya prabowo tidak mau terima gaji pasti ini exit plan untuk tidak memberi gaji karyawan pt kiani kertas yang sudah 4 tahun tidak menerima gaji katanya perhatian pada rakyat kecil karyawannya sendiri tidak digaji munafikun a,prabowo tidak terima gaji exit plan tidak gaji karyawan pt kiani kertas 4 tidak menerima gaji perhatian rakyat karyawannya tidak digaji munafikun a,prabowo tidak terima gaji exit plan tidak gaji karyawan pt kiani kertas 4 tidak terima gaji perhati rakyat karyawannya tidak gaji munafikun a
350,positif,saya tidak butuh jalan tol yang saya butuhkan hasil pertanian harga jual ditingkatkan,tidak butuh jalan tol butuhkan hasil pertanian harga jual ditingkatkan,tidak butuh jalan tol butuh hasil tani harga jual tingkat
351,netral,consol games itu hardware bung esport itu pemanfaatannya lah memang tidak ada dampak keekonomiannya secara masif lah terus kenapa pak jokowi sepertinya bangga sekali dengan esport ini neh dampaknya esports pictwittercomixu0nbrrpu,consol games hardware esport pemanfaatannya tidak dampak keekonomiannya masif jokowi bangga esport neh dampaknya esports pictwittercomixu0nbrrpu,consol games hardware esport manfaat tidak dampak ekonomi masif jokowi bangga esport neh dampak esports pictwittercomixu0nbrrpu
352,positif,mau gajinya dibayar tusuk prabowo sandi mau verpool juara liga tusuk prabowo sandi y,gajinya dibayar tusuk prabowo sandi verpool juara liga tusuk prabowo sandi y,gaji bayar tusuk prabowo sandi verpool juara liga tusuk prabowo sandi y
353,negatif,kenapa ekonominya 7 bukannya target kalau idola kamu bicara 2 digit itu gimana terbukti kan saya bilang tegas ya seperti apa,ekonominya 7 target idola bicara 2 digit gimana terbukti bilang ya,ekonomi 7 target idola bicara 2 digit gimana bukti bilang ya
354,positif,pak mahal harganya tidak bisa diturunin ya dari saya si missqueen yang ingin lewat jalan tol pakai mobil pribadi jangan bilang harus kerja dong biar supaya tidak missqueen ibarat cari kerja itu kaya lagi cari jodoh tidak gampang tcoy,mahal harganya tidak diturunin ya si missqueen jalan tol pakai mobil pribadi bilang kerja biar tidak missqueen cari kerja kaya cari jodoh tidak gampang tcoy,mahal harga tidak diturunin ya si missqueen jalan tol pakai mobil pribadi bilang kerja biar tidak missqueen cari kerja kaya cari jodoh tidak gampang tcoy
355,netral,jokowi ri akan masuk 4 besar kekuatan ekonomi pada 2045 sourcedigital20marketingutm mediumfacebookutm campaigndlvrita a,jokowi ri masuk 4 kekuatan ekonomi 2045 sourcedigital20marketingutm mediumfacebookutm campaigndlvrita a,jokowi ri masuk 4 kuat ekonomi 2045 sourcedigital20marketingutm mediumfacebookutm campaigndlvrita a
356,netral,prabowo sandi itu pengusaha mereka tidak digaji tapi biasa menggaji y,prabowo sandi pengusaha tidak digaji menggaji y,prabowo sandi usaha tidak gaji gaji y
357,netral,tolong lihat dampak buruknya bing mana yang banyak manfaat dan mana yang banyak mudharatnya pahami dulu semuanya jangan membenarkan segala sesuatu hanya dengan segi keekonomiannya saja pictwittercomruf9xqbxmx,tolong lihat dampak buruknya bing manfaat mudharatnya pahami membenarkan segi keekonomiannya pictwittercomruf9xqbxmx,tolong lihat dampak buruk bing manfaat mudharatnya paham benar segi ekonomi pictwittercomruf9xqbxmx
358,positif,ucapan pak prabowo dan bang sandiuno yang akan menyumbangkan seluruh gajinya jika terpilih semakin memantapkan kami untuk menentukan pilihan kepada prabowosandi tusukprabowosandi uasdifitnahkejidanbrutal,ucapan prabowo bang sandiuno menyumbangkan gajinya terpilih memantapkan menentukan pilihan prabowosandi tusukprabowosandi uasdifitnahkejidanbrutal,ucap prabowo bang sandiuno sumbang gaji pilih mantap tentu pilih prabowosandi tusukprabowosandi uasdifitnahkejidanbrutal
359,netral,prabowosandi tak akan ambil gaji sepeser pun jika terpilih a uasdifitnahkejidanbrutal,prabowosandi ambil gaji sepeser terpilih a uasdifitnahkejidanbrutal,prabowosandi ambil gaji peser pilih a uasdifitnahkejidanbrutal
360,netral,mkin yang d maksud kiani kertas tidak mampu bayar gaji buruhz kaliato kiani kertas tidak produksi kertas tapi produksi utang k karyawabx,mkin d maksud kiani kertas tidak bayar gaji buruhz kaliato kiani kertas tidak produksi kertas produksi utang k karyawabx,mkin d maksud kiani kertas tidak bayar gaji buruhz kaliato kiani kertas tidak produksi kertas produksi utang k karyawabx
361,positif,capres kaleng2 selalu hoax harga2 melambung faktanya harga stabil inflasi normal dan grafik menurun mengelola oke oke gagal mau membicarakan ekonomi makro di libas kamu ma jokowi akhirnya sikaleng2 itu bilang bukansalahbapak nasrrudi pictwittercom5k5lyrngwn,capres kaleng2 hoax harga2 melambung faktanya harga stabil inflasi normal grafik menurun mengelola oke oke gagal membicarakan ekonomi makro libas ma jokowi sikaleng2 bilang bukansalahbapak nasrrudi pictwittercom5k5lyrngwn,capres kaleng2 hoax harga2 lambung fakta harga stabil inflasi normal grafik turun kelola oke oke gagal bicara ekonomi makro libas ma jokowi sikaleng2 bilang bukansalahbapak nasrrudi pictwittercom5k5lyrngwn
362,negatif,eh bung tolong bedakan startup sebagai monetizing dan hobi yang di monetize startup jelas ada nilai keekonomian yang besar tapi hobi hanya segelintir orang yang melakukannya dan bukan kebutuhan ya allah masa harus saya jelaskan seh bedanya panjang lebar bung,eh tolong bedakan startup monetizing hobi monetize startup nilai keekonomian hobi segelintir orang melakukannya kebutuhan ya allah seh bedanya lebar,eh tolong beda startup monetizing hobi monetize startup nilai ekonomi hobi gelintir orang laku butuh ya allah seh beda lebar
363,negatif,mas ari narang prabowo sandi itu horang kayah yang tiap tahun setor pajak hingga ratusan juta memang junjungan situ pinternya ambil duit haji saking kebanyakan utang,mas ari narang prabowo sandi horang kayah setor pajak ratusan juta junjungan situ pinternya ambil duit haji saking kebanyakan utang,mas ari narang prabowo sandi horang kayah setor pajak ratus juta junjung situ pinternya ambil duit haji saking banyak utang
364,netral,ada sebagian kader pada yang tidak terima tapi disisi lain prabowo bilang ekonomi indo rusak karena presiden sebelumnya tapi anda bilang ini ciri koalisi berkelas kayaknya anda lagi menghibur diri,kader tidak terima disisi prabowo bilang ekonomi indo rusak presiden bilang ciri koalisi berkelas kayaknya menghibur,kader tidak terima sisi prabowo bilang ekonomi indo rusak presiden bilang ciri koalisi kelas kayak hibur
365,netral,walau banyak dibangun jalan negara jalan tol harus disadari bahwa indonesia masih kalah jauh dengan malaysia untuk itu pembangunan secara besar2an harus terus dilanjutkan sampai melebihi malaysia potensi indonesia luar biasa kalau berhasil pasti menjadi raksasa ekonomi dunia,dibangun jalan negara jalan tol disadari indonesia kalah malaysia pembangunan besar2an dilanjutkan melebihi malaysia potensi indonesia berhasil raksasa ekonomi dunia,bangun jalan negara jalan tol sadar indonesia kalah malaysia bangun besar2an lanjut lebih malaysia potensi indonesia hasil raksasa ekonomi dunia
366,negatif,kalau ada yang percya gaji prabowo dan sandiuno akn dsumbangkan jika jadi presiden bearti fix orang dungu,percya gaji prabowo sandiuno akn dsumbangkan presiden bearti fix orang dungu,percya gaji prabowo sandiuno akn dsumbangkan presiden bearti fix orang dungu
367,positif,maju terus sumatra semoga dengan adanya jalan tol ini pertumbuhan ekonomi semakin banyak aamiinn,maju sumatra semoga jalan tol pertumbuhan ekonomi aamiinn,maju sumatra moga jalan tol tumbuh ekonomi aamiinn
368,positif,bentar dulu awalnya narasi kamu kan pembangunan terutama tol kok lari sekarang bahas ekonomi dan temennya ayo belajar konsisten tema yang kamu singgung wkwkwkwk 17aprilcoblosjokowiamin 17aprilcoblosbajuputih,bentar narasi pembangunan tol lari bahas ekonomi temennya ayo belajar konsisten tema singgung wkwkwkwk 17aprilcoblosjokowiamin 17aprilcoblosbajuputih,bentar narasi bangun tol lari bahas ekonomi temennya ayo ajar konsisten tema singgung wkwkwkwk 17aprilcoblosjokowiamin 17aprilcoblosbajuputih
369,netral,bahkan tol juga hanya melanjutkan jadi bukan prestasi ekonomi gimana rupiah devisa inflasi itu lebih penting dari sebuah proyek tanpa platform bandara kertajati sepi berapa uang yang dibakar,tol melanjutkan prestasi ekonomi gimana rupiah devisa inflasi proyek platform bandara kertajati sepi uang dibakar,tol lanjut prestasi ekonomi gimana rupiah devisa inflasi proyek platform bandara kertajati sepi uang bakar
370,positif,setuju tidak ada harga dirinya lagi partai demokrat jangan hanya memikirkan karena ada bu mega di sisi jokowi pak sbyudhoyono kehidupan dan masa depan bangsa lebih penting daripada emosi seseorang,setuju tidak harga partai demokrat memikirkan bu mega sisi jokowi sbyudhoyono kehidupan bangsa emosi,tuju tidak harga partai demokrat pikir bu mega sisi jokowi sbyudhoyono hidup bangsa emosi
